,ukr_ip
2005-01-01,-1.27645112882773
2005-02-01,-0.6216507599377028
2005-03-01,-0.03021816868219429
2005-04-01,0.624582200207833
2005-05-01,1.2582599765530205
2005-06-01,1.9130603454430481
2005-07-01,2.5467381217882354
2005-08-01,3.201538490678263
2005-09-01,3.85633885956829
2005-10-01,4.490016635913477
2005-11-01,5.144817004803505
2005-12-01,5.778494781148693
2006-01-01,6.43329515003872
2006-02-01,6.601438111008953
2006-03-01,6.753309172530454
2006-04-01,6.921452133500687
2006-05-01,7.084171127988009
2006-06-01,7.252314088958242
2006-07-01,7.415033083445564
2006-08-01,7.583176044415797
2006-09-01,7.75131900538603
2006-10-01,7.9140379998733525
2006-11-01,8.082180960843585
2006-12-01,8.244899955330908
2007-01-01,8.41304291630114
2007-02-01,7.176175446838581
2007-03-01,6.059004829259496
2007-04-01,4.822137359796936
2007-05-01,3.6251688409622016
2007-06-01,2.388301371499642
2007-07-01,1.1913328526649067
2007-08-01,-0.045534616797652916
2007-09-01,-1.2824020862602126
2007-10-01,-2.479370605094946
2007-11-01,-3.7162380745575057
2007-12-01,-4.913206593392241
2008-01-01,-6.1500740628548
2008-02-01,-7.351366906420164
2008-03-01,-8.475156985884539
2008-04-01,-9.676449829449902
2008-05-01,-10.83899129096477
2008-06-01,-12.040284134530136
2008-07-01,-13.202825596045006
2008-08-01,-14.404118439610372
2008-09-01,-15.605411283175734
2008-10-01,-16.767952744690604
2008-11-01,-17.96924558825597
2008-12-01,-19.13178704977084
2009-01-01,-20.3330798933362
2009-02-01,-18.186539814305277
2009-03-01,-16.247729420341862
2009-04-01,-14.101189341310937
2009-05-01,-12.023892490635848
2009-06-01,-9.877352411604923
2009-07-01,-7.8000555609298345
2009-08-01,-5.653515481898911
2009-09-01,-3.5069754028679867
2009-10-01,-1.4296785521928967
2009-11-01,0.7168615268380272
2009-12-01,2.7941583775131136
2010-01-01,4.94069845654404
2010-02-01,4.9066435678601135
2010-03-01,4.875884313564954
2010-04-01,4.841829424881027
2010-05-01,4.808873080993356
2010-06-01,4.7748181923094295
2010-07-01,4.741861848421759
2010-08-01,4.707806959737832
2010-09-01,4.673752071053905
2010-10-01,4.640795727166235
2010-11-01,4.606740838482308
2010-12-01,4.573784494594637
2011-01-01,4.53972960591071
2011-02-01,3.9204667109436806
2011-03-01,3.3611324832315246
2011-04-01,2.7418695882644943
2011-05-01,2.142582915715756
2011-06-01,1.5233200207487263
2011-07-01,0.9240333481999876
2011-08-01,0.3047704532329574
2011-09-01,-0.314492441734072
2011-10-01,-0.9137791142828107
2011-11-01,-1.533042009249841
2011-12-01,-2.1323286817985796
2012-01-01,-2.75159157676561
2012-02-01,-3.1480761539054214
2012-03-01,-3.51898108090718
2012-04-01,-3.9154656580469918
2012-05-01,-4.299160410117777
2012-06-01,-4.695644987257588
2012-07-01,-5.079339739328374
2012-08-01,-5.475824316468184
2012-09-01,-5.872308893607997
2012-10-01,-6.256003645678781
2012-11-01,-6.652488222818593
2012-12-01,-7.036182974889378
2013-01-01,-7.43266755202919
2013-02-01,-8.029873537498899
2013-03-01,-8.569285395342508
2013-04-01,-9.166491380812216
2013-05-01,-9.744432657073226
2013-06-01,-10.341638642542936
2013-07-01,-10.919579918803944
2013-08-01,-11.516785904273654
2013-09-01,-12.113991889743364
2013-10-01,-12.691933166004372
2013-11-01,-13.289139151474082
2013-12-01,-13.86708042773509
2014-01-01,-14.4642864132048
2014-02-01,-14.517039727538688
2014-03-01,-14.564687882420909
2014-04-01,-14.617441196754797
2014-05-01,-14.668492791271463
2014-06-01,-14.721246105605351
2014-07-01,-14.772297700122015
2014-08-01,-14.825051014455905
2014-09-01,-14.877804328789793
2014-10-01,-14.928855923306457
2014-11-01,-14.981609237640345
2014-12-01,-15.032660832157012
2015-01-01,-15.0854141464909
2015-02-01,-13.540057615552437
2015-03-01,-12.144251716640277
2015-04-01,-10.598895185701814
2015-05-01,-9.103388865438784
2015-06-01,-7.55803233450032
2015-07-01,-6.0625260142372905
2015-08-01,-4.517169483298828
2015-09-01,-2.9718129523603647
2015-10-01,-1.4763066320973355
2015-11-01,0.06904989884112744
2015-12-01,1.5645562191041567
2016-01-01,3.10991275004262
2016-02-01,2.997033576861575
2016-03-01,2.891436930982533
2016-04-01,2.7785577578014884
2016-05-01,2.669319848271445
2016-06-01,2.5564406750904
2016-07-01,2.4472027655603563
2016-08-01,2.3343235923793118
2016-09-01,2.2214444191982667
2016-10-01,2.112206509668223
2016-11-01,1.9993273364871784
2016-12-01,1.8900894269571349
2017-01-01,1.77721025377609
2017-02-01,1.8525151572823817
2017-03-01,1.9205324894816127
2017-04-01,1.995837392987904
2017-05-01,2.068713106058509
2017-06-01,2.1440180095648
2017-07-01,2.216893722635405
2017-08-01,2.2921986261416962
2017-09-01,2.367503529647988
2017-10-01,2.4403792427185924
2017-11-01,2.515684146224884
2017-12-01,2.5885598592954886
2018-01-01,2.66386476280178
2018-02-01,2.5945137213394434
2018-03-01,2.5318740709863654
2018-04-01,2.4625230295240286
2018-05-01,2.395409118431445
2018-06-01,2.326058076969108
2018-07-01,2.2589441658765246
2018-08-01,2.1895931244141877
2018-09-01,2.120242082951851
2018-10-01,2.0531281718592673
2018-11-01,1.9837771303969305
2018-12-01,1.9166632193043467
2019-01-01,1.84731217784201
2019-02-01,1.4184299574837933
2019-03-01,1.0310524681279847
2019-04-01,0.6021702477697677
2019-05-01,0.1871229377456869
2019-06-01,-0.24175928261252988
2019-07-01,-0.6568065926366109
2019-08-01,-1.0856888129948277
2019-09-01,-1.5145710333530444
2019-10-01,-1.929618343377125
2019-11-01,-2.3585005637353422
2019-12-01,-2.773547873759423
2020-01-01,-3.20243009411764
2020-02-01,-2.7465344769333613
2020-03-01,-2.3200514802125842
2020-04-01,-1.8641558630283055
2020-05-01,-1.4229665560757776
2020-06-01,-0.9670709388914989
2020-07-01,-0.525881631938971
2020-08-01,-0.06998601475469224
2020-09-01,0.3859096024295865
2020-10-01,0.8270989093821144
2020-11-01,1.2829945265663931
2020-12-01,1.724183833518921
2021-01-01,2.1800794507032
2021-02-01,-1.4870319409941186
2021-03-01,-4.799261585107826
2021-04-01,-8.466372976805145
2021-05-01,-12.01519045264126
2021-06-01,-15.682301844338578
2021-07-01,-19.23111932017469
2021-08-01,-22.89823071187201
2021-09-01,-26.565342103569332
2021-10-01,-30.11415957940545
2021-11-01,-33.78127097110277
2021-12-01,-37.33008844693887
2022-01-01,-40.9971998386362
2022-02-01,-36.83606960839029
2022-03-01,-33.07762940042625
2022-04-01,-28.916499170180337
2022-05-01,-24.88959894736172
2022-06-01,-20.72846871711581
2022-07-01,-16.701568494297188
2022-08-01,-12.540438264051282
2022-09-01,-8.379308033805373
2022-10-01,-4.3524078109867546
2022-11-01,-0.1912775807408451
2022-12-01,3.835622642077773
2023-01-01,7.99675287232368
2023-02-01,7.668698862481908
2023-03-01,7.372392014882887
2023-04-01,7.044338005041116
2023-05-01,6.726866382613594
2023-06-01,6.398812372771823
2023-07-01,6.081340750344301
2023-08-01,5.75328674050253
2023-09-01,5.425232730660757
2023-10-01,5.107761108233236
2023-11-01,4.779707098391464
2023-12-01,4.462235475963943
2024-01-01,4.13418146612217
2024-02-01,4.13418146612217
2024-03-01,4.13418146612217
2024-04-01,4.13418146612217
2024-05-01,4.13418146612217
2024-06-01,4.13418146612217
2024-07-01,4.13418146612217
2024-08-01,4.13418146612217
2024-09-01,4.13418146612217
2024-10-01,4.13418146612217
2024-11-01,4.13418146612217
2024-12-01,4.13418146612217
2025-01-01,4.13418146612217
2025-02-01,4.13418146612217
2025-03-01,4.13418146612217
2025-04-01,4.13418146612217
2025-05-01,4.13418146612217
2025-06-01,4.13418146612217
2025-07-01,4.13418146612217
2025-08-01,4.13418146612217
2025-09-01,4.13418146612217
2025-10-01,4.13418146612217
2025-11-01,4.13418146612217
2025-12-01,4.13418146612217
